id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23702901,Home in Seattle · ★4.67 · 3 bedrooms · 6 beds · 2 baths,54812088,Seattle Vacation Home,Central Area,Madrona,47.61728,-122.29505,Entire home/apt,272,30,90,2023-06-05,1.46,49,207,18,STR-OPLI-19-002947
577519039238280663,Townhouse in Seattle · ★4.93 · 3 bedrooms · 4 beds · 1.5 baths,65158746,Bryan,Magnolia,Lawton Park,47.65234,-122.38508,Entire home/apt,232,2,43,2023-05-29,2.84,7,119,29,str-opli-22-000316
842929821145111516,Rental unit in Seattle · ★4.75 · 2 bedrooms · 2 beds · 1 bath,25225438,Carr,Other neighborhoods,Georgetown,47.54258618656904,-122.32065848809385,Entire home/apt,125,2,4,2023-04-30,1.21,1,288,4,STR-OPLI-01-146134
798502714832627746,Home in Seattle · ★5.0 · 2 bedrooms · 2 beds · 3 baths,3792761,Kimberly,Queen Anne,West Queen Anne,47.633082200491685,-122.37307765925196,Entire home/apt,700,2,4,2023-05-29,0.81,2,312,4,STR-OPLI-23-000091
863349679651815282,Home in Seattle · 2 bedrooms · 2 beds · 2 baths,3214057,Louis,Magnolia,Southeast Magnolia,47.6470811831839,-122.38633475659513,Entire home/apt,149,31,0,,,1,297,0,
22190735,Guest suite in Seattle · ★4.97 · 1 bedroom · 1 bed · 1 private bath,802398,Bill And Michael,Capitol Hill,Broadway,47.62247,-122.31765,Private room,106,2,244,2023-06-15,3.67,3,70,46,
51564394,Townhouse in Seattle · ★4.95 · 3 bedrooms · 4 beds · 2 baths,25110157,Eva And Sid,Ballard,Adams,47.67522,-122.38631,Entire home/apt,409,2,93,2023-06-21,4.57,24,305,54,STR-OPLI-21-001076
14473862,Rental unit in Seattle · ★4.97 · 2 bedrooms · 2 beds · 1 bath,1227807,Margaret,Capitol Hill,Montlake,47.64116,-122.30069,Entire home/apt,150,6,31,2022-08-10,0.42,1,12,2,STR-OPLI-19-003012
1179538,Townhouse in Seattle · ★4.88 · 2 bedrooms · 2 beds · 1.5 baths,6407320,Varun,Ballard,West Woodland,47.67277,-122.3747,Private room,169,1,8,2023-03-03,0.09,4,5,3,
51910092,Home in Seattle · ★4.98 · 3 bedrooms · 4 beds · 2 baths,65158746,Bryan,Ballard,Adams,47.67162,-122.37797,Entire home/apt,287,2,94,2023-06-19,4.32,7,109,47,STR-OPLI-21-000828
28249646,Guesthouse in Seattle · ★4.98 · 1 bedroom · 1 bed · 1 bath,16537927,Amy Or Ian,West Seattle,Fauntleroy,47.52444,-122.38194,Entire home/apt,120,2,59,2023-06-12,1.05,1,270,21,STR-OPLI-19-003220
753849604393884222,Home in Seattle · 1 bedroom · 1 bed · 1 bath,190507384,Cherry,Capitol Hill,Broadway,47.61919,-122.32007,Private room,62,10,0,,,51,317,0,
43510567,Home in Seattle · 4 bedrooms · 5 beds · 3 baths,347066650,Zina,Other neighborhoods,Ravenna,47.6832,-122.30597,Entire home/apt,475,120,0,,,1,178,0,
202251,Home in Seattle · ★4.43 · 3 bedrooms · 3 beds · 1 bath,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.67757,-122.36172,Entire home/apt,210,30,31,2022-08-31,0.29,1,144,2,
7581631,Rental unit in Seattle · ★4.87 · 2 bedrooms · 2 beds · 1 bath,316200,William,Cascade,Eastlake,47.63997,-122.32399,Entire home/apt,102,30,131,2023-04-24,1.38,7,254,4,
368403,Home in Seattle · ★4.87 · 6 bedrooms · 7 beds · 3 baths,4186078,Trung,Other neighborhoods,Green Lake,47.68528,-122.33125,Entire home/apt,650,4,46,2023-04-02,0.39,1,311,2,STR-OPLI-19-001130
746030008962172999,Rental unit in Seattle · Studio · 1 bed · 1 bath,3074414,Melissa,Other neighborhoods,Ravenna,47.67649417176141,-122.29118875315996,Entire home/apt,120,30,1,2023-05-20,0.81,118,68,1,
706668311755550963,Home in Seattle · ★4.54 · 3 bedrooms · 3 beds · 1 bath,141733572,Lulsged,Delridge,Highland Park,47.51866,-122.3404,Entire home/apt,124,1,37,2023-06-10,3.85,1,272,37,STR-OPLI-22-001468
